"","Longitude","Latitude","ObjectID","GlobalID","Crew","Experience","Date","General.Location","Random.Point.ID","Non.GNSS.point","Accuracy..m.","Elevation..m.","Biogeoclimatic.Unit","Site.Group_5m","Site.Series.Map.Unit_5m","Certainty","Transition","Site.Group_5m_2","Site.Series.Map.Unit_5m_2","Site.Group_1m","Site.Series.Map.Unit_1m","Transition_1m","Site.Group_1m_2","Site.Series.Map.Unit_1m_2","Structural.Stage","Structural.Stage.Modifier","Site.Modifier","Soil.Moisture.Regime","Soil.Nutrient.Regime","Site.Disturbance..s.","Comment..max.255.characters.","CreationDate","Creator","EditDate","Editor","Office.Comment","Site.Series.Map.Unit_1m_1","Comment..max.255.characters","MAP_LABEL","BGC_LABEL","BGC_test"
"1",-126.667527,54.51651245,145,"add60515-27c6-42e2-8e44-552f47814fa1","BJR",2,"2018-06-27 19:32","Canyon Creek FSR",NA,"",10,1099,"SBSmc2","Fo","SBSmc2/10b",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"2",-126.6740586,54.52943323,144,"8895a06a-6042-48af-899e-fe9ea76a397f","BJR",2,"2018-06-27 20:17","Canyon Creek FSR",NA,"",10,1093,"SBSmc2","Fo","SBSmc2/10b",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"3",-126.6754746,54.52941373,143,"2debfdf5-8393-42d8-a2a6-7e1e5ab6d29e","BJR",2,"2018-06-27 20:28","Canyon Creek FSR",NA,"",10,1094,"SBSmc2","Fo","SBSmc2/01",2,"3","Fo","SBSmc2/05","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"4",-126.6761556,54.52943569,142,"328a0ed7-44c3-494d-8bc0-89529582de5b","BJR",2,"2018-06-27 20:32","Canyon Creek FSR",NA,"",10,1094,"SBSmc2","Fo","SBSmc2/06",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"5",-126.6767406,54.52947693,141,"0a93819d-6f6a-4f4e-b8c2-adcef1f56c86","BJR",2,"2018-06-27 20:35","Canyon Creek FSR",NA,"",10,1106,"SBSmc2","Fo","SBSmc2/05",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"6",-126.6772761,54.52958733,140,"f38aacc8-4f98-48db-86c8-9b316a6f5a77","BJR",2,"2018-06-27 20:39","Canyon Creek FSR",NA,"",10,1108,"SBSmc2","Fo","SBSmc2/06",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"7",-126.6778648,54.52954423,139,"76213c55-eec3-4966-ad09-4a9b02f16752","BJR",2,"2018-06-27 20:43","Canyon Creek FSR",NA,"",10,1121,"SBSmc2","Fo","SBSmc2/01",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"8",-126.6790162,54.52942693,138,"bc96349c-65ee-4ebb-b034-3738bb2c943b","BJR",2,"2018-06-27 20:49","Canyon Creek FSR",NA,"",10,1133,"SBSmc2","Fo","SBSmc2/06",2,"3","Fo","SBSmc2/01","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"9",-126.678602,54.52897975,137,"c381c1a2-d355-496f-807f-6b528276187e","BJR",2,"2018-06-27 21:06","Canyon Creek FSR",NA,"",10,1126,"SBSmc2","Fo","SBSmc2/01",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
"10",-126.6779139,54.52878888,136,"0b20ac10-15c7-4c7d-874a-42a3f584cf95","BJR",2,"2018-06-27 21:13","Canyon Creek FSR",NA,"",10,1120,"SBSmc2","Fo","SBSmc2/06",2,"1","","","","","","","","null","Null","","","","","","2018-06-28 15:17","PX.SkeenaESI","2018-06-28 15:17","PX.SkeenaESI","",NA,NA,"SBSmc2","SBS mc 2",TRUE
